id          first_name  last_name   gender      party       party_duration  age         married     children_count  homeowner   employed    created_at                 updated_at                 COUNT(1)  
93          Austyn      Nicolas     male        republican  7               60          1           4               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
94          Curtis      Boehm       male        republican  31              42          1           1               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
96          Betty       Kris        female      republican  55              72          1           7               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
99          Graciela    Ward        female      republican  18              57          0           1               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
101         Erling      Nader       female      democrat    13              90          0           4               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
103         Nicklaus    Ernser      male        republican  9               40          0           0               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
107         Wilfredo    Hermiston   female      na          2               21          0           6               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
108         Delilah     Breitenber  male        republican  40              90          0           6               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
110         Katarina    Lang        male        na          11              28          0           4               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  6         
111         Anabelle    Greenfelde  female      republican  47              85          0           6               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
112         Brando      Schuster    female      republican  7               52          0           1               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
114         Ora         Wilderman   male        republican  20              50          1           7               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
115         Roberta     Windler     female      republican  27              81          1           7               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
119         Jacques     Hartmann    male        democrat    20              84          1           1               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
121         Matilde     Mitchell    male        democrat    15              43          0           3               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
122         Gunner      Franecki    male        green       28              82          1           5               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
123         Marion      McLaughlin  male        democrat    40              81          1           2               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
124         Meda        Brekke      male        democrat    43              54          0           4               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
126         Amina       Lebsack     male        independen  4               30          1           2               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
128         Lesly       Bergstrom   male        democrat    34              48          0           6               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
129         Taylor      Keebler     female      republican  9               37          1           3               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
131         Jerrod      Wiza        male        democrat    22              54          1           7               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
132         Giovanny    Champlin    female      democrat    73              87          0           4               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
134         Easter      Boyle       female      democrat    52              89          0           0               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
137         Angie       Bechtelar   female      democrat    22              60          0           3               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
139         Anissa      Wiza        male        republican  32              76          1           3               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
148         Anastasia   Kunze       male        republican  16              45          1           0               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
149         Kristofer   Cummings    female      republican  3               88          0           1               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  6         
151         Reilly      Heathcote   male        democrat    14              74          1           7               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  5         
155         Benny       O'Kon       male        democrat    37              81          1           5               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
156         Claudie     Doyle       male        democrat    17              53          1           8               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
157         Anissa      Williamson  female      democrat    37              57          1           6               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
158         Lucious     Labadie     male        democrat    43              83          0           3               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
165         Zoe         Bernier     female      independen  21              55          0           4               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
168         Stephen     Raynor      male        democrat    11              47          0           3               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
169         Gloria      Bogisich    male        na          59              70          0           3               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
172         Tyrique     Bednar      male        democrat    37              82          1           7               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
175         Lorna       Weber       male        democrat    5               28          1           8               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
178         Leopoldo    Larson      female      republican  4               45          0           3               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
183         Destini     Toy         female      democrat    21              45          0           0               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
187         Winfield    Hand        female      independen  6               42          0           6               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
188         Afton       Maggio      male        democrat    36              86          1           8               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  6         
190         Kenna       Schowalter  female      republican  41              84          0           0               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
193         Nicholas    Bernier     male        na          67              86          1           4               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
195         Joannie     Nienow      male        republican  16              36          1           0               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
196         Merritt     Stokes      female      republican  2               85          0           0               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
198         Lucinda     Murphy      female      democrat    1               63          0           8               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
201         Jett        Kuhic       female      republican  29              87          1           1               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  5         
202         Jacques     Cassin      male        democrat    11              23          1           8               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
203         Baylee      Homenick    male        na          32              52          0           0               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
209         Carlie      Stark       male        democrat    23              80          1           5               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
211         Ben         Aufderhar   male        democrat    38              78          0           6               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  5         
212         Leland      Jewess      male        republican  16              76          0           3               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
218         Bernadine   Crist       male        na          17              33          1           4               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
220         Bianka      Dooley      male        democrat    32              86          1           3               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
222         Marjolaine  Reynolds    male        republican  24              71          1           7               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
233         Richie      Eichmann    male        independen  61              85          1           3               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
234         Royal       McCullough  female      democrat    17              70          0           4               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
235         Luciano     Schinner    female      republican  3               43          1           2               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
242         Jammie      Gorczany    male        democrat    4               24          0           3               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
245         Thurman     Anderson    female      republican  50              69          1           3               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  5         
246         Gino        Zemlak      male        green       6               33          0           0               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
247         London      Reynolds    female      democrat    28              43          1           2               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  5         
252         Idell       Waters      male        na          14              25          1           3               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
253         Casey       Conroy      male        republican  1               21          1           7               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
261         Ora         Harber      female      na          11              75          0           8               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
263         Katelynn    Leannon     male        independen  59              69          0           7               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
269         Caroline    Schowalter  male        democrat    43              90          0           3               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
283         Devon       Boyer       male        republican  49              66          0           1               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
284         Keon        Keeling     female      republican  12              36          0           3               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
285         Tremayne    Champlin    female      republican  34              52          1           2               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
290         Milan       Heller      female      republican  30              52          1           6               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
291         Khalid      Dietrich    male        republican  7               22          0           1               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
294         Eleanore    Conroy      male        democrat    6               65          0           7               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
296         Victor      Gerlach     female      democrat    9               22          1           5               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
297         Julien      Considine   female      republican  10              20          1           1               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
299         Lester      Morar       female      republican  1               36          0           8               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  6         
301         Kay         Moore       male        republican  1               62          0           6               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
302         Marcus      Harvey      female      democrat    37              51          0           8               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
304         Marjorie    Mueller     male        democrat    9               19          0           0               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
307         Jameson     Beahan      male        democrat    2               39          1           4               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
308         Ellie       Wiza        female      republican  26              38          0           4               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
311         Tremayne    Schuster    male        democrat    37              50          1           3               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  5         
320         Gabe        Rodriguez   female      democrat    26              54          0           0               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
322         Clovis      Bradtke     female      republican  15              53          0           0               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
323         Gregory     Gleason     female      independen  17              85          1           6               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
328         Santos      Hintz       female      independen  8               20          1           2               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
329         Mara        Green       female      republican  25              85          1           7               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
333         Sammy       Blick       female      republican  62              86          1           4               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
338         Marilie     Cormier     male        democrat    35              45          1           6               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
342         Brycen      Tillman     female      democrat    42              58          1           8               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  5         
344         Joannie     DuBuque     female      democrat    17              28          0           8               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
345         Laurel      Kshlerin    female      independen  31              76          1           8               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
346         Kyler       Moen        female      republican  3               20          1           7               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
350         Adelbert    Bednar      male        republican  29              62          0           1               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
356         Elvis       Hammes      female      democrat    20              74          1           8               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
359         Estella     Welch       male        democrat    45              61          0           1               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
368         Garnet      Erdman      female      democrat    20              50          1           1               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
370         Jeff        Fritsch     male        green       9               81          1           4               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
372         Adolf       Lockman     female      republican  8               28          0           3               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
374         Gillian     Huels       male        democrat    32              90          1           2               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
375         Camilla     Feil        male        independen  7               23          1           4               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
376         Corine      Hintz       female      republican  26              38          1           4               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
381         Gaetano     Kris        male        republican  3               66          0           6               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
385         Bernhard    Harvey      female      democrat    4               23          0           7               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
389         Jewell      Watsica     female      republican  23              45          1           6               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
391         Josue       Jones       male        republican  10              31          1           6               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
392         Bradly      Lang        male        na          16              36          1           2               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
393         Jeanne      McLaughlin  male        republican  37              73          1           4               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
396         Curt        Tremblay    male        republican  29              45          0           3               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
398         Cole        Zboncak     female      democrat    4               49          1           4               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
399         Allen       Heller      female      democrat    39              85          0           0               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
406         Conner      Zulauf      male        democrat    9               33          0           1               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
410         Sheila      Weissnat    female      democrat    28              41          0           3               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
416         Sedrick     Jacobi      male        republican  33              72          0           2               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
417         Salvador    Blanda      female      democrat    17              40          1           1               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
425         Lyla        Buckridge   female      republican  8               52          0           0               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  6         
426         Junior      Stokes      male        democrat    7               41          1           7               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
427         Annamarie   Cormier     male        democrat    25              48          1           0               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
430         Rosalyn     Hegmann     male        democrat    78              89          0           5               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  6         
433         Lane        Kutch       male        republican  5               19          0           6               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
435         Edgardo     Ferry       female      republican  14              34          0           6               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
437         Holly       Little      female      republican  32              74          0           1               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
443         Aron        Grimes      female      republican  28              49          1           5               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
444         Ella        Stanton     male        democrat    26              72          0           6               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
445         Brody       Schmeler    male        democrat    6               22          0           1               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  5         
446         Kitty       Bartell     female      republican  30              44          1           6               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
454         Margarett   Wilkinson   male        green       27              73          0           5               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
460         Oda         MacGyver    male        republican  52              86          1           0               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
463         Walker      Sauer       male        republican  4               19          1           0               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
464         Gideon      Schaden     female      republican  18              59          1           8               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
476         Thurman     Donnelly    female      democrat    1               23          0           6               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
477         Connor      Wolf        female      republican  45              62          1           4               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
480         Mona        McGlynn     male        republican  8               57          0           1               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
482         Lauren      Rutherford  female      democrat    27              84          0           6               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
483         June        Barton      female      republican  22              44          1           3               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  5         
485         Luther      Quigley     male        green       42              78          1           2               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
489         Cindy       Kub         male        republican  24              40          1           4               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
491         Walker      Reichert    male        republican  10              21          1           4               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
502         Cole        Borer       male        democrat    33              44          1           0               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
503         Harrison    Lakin       male        democrat    43              70          0           0               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
508         Dwight      Raynor      female      green       23              37          1           5               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
510         Waino       McGlynn     female      republican  14              34          0           0               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
513         Helen       Sipes       female      republican  7               60          0           3               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
514         Nathanael   Windler     female      republican  24              51          0           3               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
521         Alf         Ullrich     female      democrat    30              40          1           5               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
539         Luz         Schowalter  female      republican  75              90          1           7               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
547         William     Bruen       female      democrat    20              54          1           4               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
548         Lorine      Homenick    male        democrat    31              61          0           4               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
549         Glenda      Wuckert     male        republican  21              45          0           3               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
550         Damien      Daugherty   female      na          51              72          1           2               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
551         Marisol     Weber       male        democrat    67              85          1           7               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
556         Keyon       Vandervort  female      republican  31              53          1           4               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
557         Kieran      Bauch       male        republican  41              85          1           7               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
558         Scotty      McClure     male        democrat    22              38          0           7               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
565         Nyah        Rice        male        republican  6               18          0           2               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
567         Norma       Waelchi     male        republican  26              57          1           6               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
568         John        McClure     male        democrat    4               66          1           1               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
569         River       Buckridge   male        republican  41              55          1           5               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
571         Bianka      Trantow     male        democrat    50              80          0           2               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
572         Cortez      Barrows     male        democrat    16              33          1           7               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  7         
581         Raul        Schumm      male        democrat    13              23          0           2               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
585         Lazaro      Block       female      democrat    5               31          1           5               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
588         Timmy       Shanahan    male        republican  54              65          0           2               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
592         Waino       Nolan       male        republican  1               20          0           5               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
595         Luna        Franecki    female      republican  1               34          1           2               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
600         Kailee      Funk        female      republican  10              37          0           6               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
601         Braden      Haag        male        independen  51              72          1           6               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
604         Thad        Ratke       male        democrat    19              36          1           7               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
605         Hailee      Casper      female      republican  18              58          1           4               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
610         Jamar       Zboncak     female      republican  17              33          0           5               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
611         Tyreek      Gerlach     male        green       32              46          1           5               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
619         Jailyn      Schaden     male        democrat    7               81          0           7               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
624         Lynn        Murphy      female      republican  51              65          1           3               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
631         Selina      Wiza        male        na          31              53          1           2               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
633         Camryn      Gutkowski   female      democrat    30              74          0           6               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
